Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
ETB Miners,"Jonathan Almstedt, Marc William Friederici, Mychael Paulo, Niclas Jonathan Sperber, Quashawn Tyrese Lane",18,9650,0.0,342,130,257,50.6,42,107,39.3,40,52,76.9,39,117,156,80,30,9,46,61,284,71,70.7,71.3,34.0,33.7,58.8,61.1,61.5,30.7,69.2,11.3,20.2,41.6,120.4,262,95,257,37,31,111,27.9,41,52,78.8,52,88,140,52,28,7,60,62,287,43,46.8,17.7,30.8,43.2,91.4,111,72,64.9,39,16,41,0,0,0,19,21,0,6,28.9,104,47,45.2,42,17,40.5,0,0,0,29,25,0,6,36,68,75,42,40,49
Dragons Rhöndorf,"Benjamin Sadikovic, Duje Dujmovic, Jorge Mejias Sanchez, Juhwan Harris-Dyson, Kenan Reinhart",14,8134,7.6,269,100,206,48.5,25,75,33.3,44,72,61.1,32,103,135,59,30,10,60,63,266,78.4,78.5,78.4,30.6,30.6,54.6,56.6,59,27.8,70.1,16.8,35,36.4,101.1,262,98,241,40.7,32,104,30.8,34,44,77.3,44,83,127,59,31,4,51,76,266,47.3,50.3,16.4,29.9,43.2,98.7,107,65,60.7,24,10,41.7,0,0,0,30,23,0,7,2.4,109,56,51.4,28,10,35.7,0,0,0,13,29,0,9,35,78,60,42,48,60
BBC Coburg,"Darius Dawson, Dylan Fasoyiro, Nico Höllerl, Nico Wenzl, Tim Herzog",15,7261,1.8,273,98,186,52.7,28,73,38.4,49,67,73.1,23,77,100,46,25,8,43,56,236,76,77.9,74,30.8,32.4,60.2,63.3,46.9,24.2,68.8,14.1,36,39.2,115.8,229,87,199,43.7,25,82,30.5,30,42,71.4,35,72,107,38,20,2,44,63,224,50,52.6,16.8,31.2,41.2,102.2,96,64,66.7,17,6,35.3,0,0,0,22,16,0,5,13.6,78,49,62.8,39,13,33.3,0,0,0,17,23,0,4,39,47,63,34,39,38
TSV Neustadt temps Shooters,"Aimé Olma, Christenvie Kwilu, Elias Marei, Emil Loch, Matej Jelovcic",15,7527,10.9,228,82,182,45.1,24,80,30,40,61,65.6,37,76,113,38,18,7,24,50,197,61.9,62.8,61,38.2,39.4,51.6,54.6,46.3,33.6,69.1,8.9,33.5,44,115.8,176,64,171,37.4,21,82,25.6,27,49,55.1,34,73,107,35,14,5,34,57,191,43.6,45.7,15,30.9,48,92.1,87,50,57.5,15,8,53.3,0,0,0,11,7,0,6,23.8,74,38,51.4,15,5,33.3,0,0,0,11,17,0,6,41,58,47,27,20,20
Hertener Löwen,"Bryant Allen, Dario Fiorentino, David Ewald, Faton Jetullahi, Gilbert Kofi Gyamfi",12,6941,5.4,184,62,173,35.8,22,86,25.6,38,50,76,21,75,96,39,21,2,16,55,189,64.9,65.5,64.4,36.7,37.3,42.2,47.2,62.9,18.3,70.8,6.4,28.9,49.7,97.2,159,55,162,34,19,76,25,30,45,66.7,31,94,125,22,11,6,38,49,186,39.8,43.7,17.3,29.2,46.9,85.3,45,26,57.8,42,14,33.3,0,0,0,7,9,0,0,11.9,48,22,45.8,38,14,36.8,0,0,0,16,18,0,4,17,21,36,31,32,18
BSW Sixers,"Emanuel Ozike, Ilias Amin, Jarne Jürgens, Robert Joseph Holmes, Toby Okwuokei",12,5915,14.7,168,65,161,40.4,12,53,22.6,26,45,57.8,35,79,114,32,14,19,32,31,178,70.1,72,68.3,33.3,35.2,44.1,46.5,49.2,34.3,76,13.1,28,32.9,94.6,151,55,158,34.8,12,68,17.6,29,38,76.3,25,67,92,30,16,5,20,39,168,38.6,43.2,10.3,24,43,89.8,78,43,55.1,30,10,33.3,0,0,0,15,11,0,6,4.9,65,29,44.6,25,14,56,0,0,0,9,10,0,1,38,25,36,25,14,38
Dresden Titans,"Duje Putnik, Kevin Kollmar, Scott Edward Stone, Sebastian Heck, Simeon Dimitrov",8,5162,12.3,208,83,151,55,20,50,40,22,30,73.3,24,50,74,53,26,11,30,43,169,77.9,78.5,77.3,30.6,31.0,61.6,63.3,63.9,34.8,60.2,12.1,19.9,33.1,123.2,188,73,154,47.4,21,54,38.9,21,29,72.4,33,45,78,35,16,3,34,49,166,54.2,56.4,16.9,39.8,35.1,113,85,57,67.1,16,6,37.5,0,0,0,11,10,0,9,10.1,80,44,55,20,8,40,0,0,0,16,13,0,5,23,66,57,26,33,34
Itzehoe Eagles,"Finn Fleute, Lucien Schmikale, Sven Cikara, Toni Nickel, Walter J McBride",14,5426,0.0,170,57,135,42.2,18,58,31,38,42,90.5,17,59,76,30,14,3,29,36,164,71.6,72.7,70.5,33.0,34.0,48.9,55.4,52.6,21.8,74.7,13.6,31.1,43,103.5,168,62,142,43.7,19,63,30.2,25,32,78.1,20,61,81,31,21,9,25,57,159,50.4,53.8,13.8,25.3,44.4,105.4,61,34,55.7,16,5,31.2,0,0,0,14,13,0,2,-1.9,54,30,55.6,25,13,52,0,0,0,14,10,0,1,33,26,37,24,28,34
Itzehoe Eagles,"Finn Fleute, Lucien Schmikale, Sven Cikara, Tobias Möller, Walter J McBride",12,5352,2.9,206,76,156,48.7,26,71,36.6,28,33,84.8,31,55,86,46,18,5,24,35,161,72.9,72.2,73.6,33.3,32.6,57.1,60.4,60.5,39.2,67.1,10,21.2,45.5,128,205,75,149,50.3,29,63,46,26,37,70.3,27,48,75,38,15,4,25,46,164,60.1,62,13.1,32.9,42.3,124.8,62,39,62.9,23,11,47.8,0,0,0,13,9,0,2,3.2,67,42,62.7,19,4,21.1,0,0,0,14,10,0,1,44,38,39,31,47,42
BSW Sixers,"Emanuel Ozike, Felix Zacharias, Ilias Amin, Robert Joseph Holmes, Toby Okwuokei",13,5414,2.5,173,67,149,45,19,58,32.8,20,27,74.1,21,56,77,24,22,10,21,41,160,71,71,71,33.8,33.8,51.3,53.8,35.8,24.7,65.1,10.2,18.1,38.9,108,160,61,137,44.5,16,51,31.4,22,40,55,30,64,94,36,9,3,34,31,160,50.4,51.7,18,34.9,37.2,99.9,74,40,54.1,17,8,47.1,0,0,0,7,9,0,5,8.1,67,40,59.7,19,5,26.3,0,0,0,22,11,0,1,25,34,27,41,37,24
