Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, A. Roberts",19,16326,628,247,500,49.4,76,179,42.5,58,93,62.4,83,200,283,124,33,27,99,84,534,77.2,78.6,75.7,30.5,31.7,57,58,50.2,34.9,78.7,13,18.6,35.8,117.5,566,225,500,45,73,207,35.3,43,65,66.2,54,155,209,121,56,15,62,90,515,52.3,53.5,10.5,21.3,41.4,109.9,7.6,242,139,57.4,78,31,39.7,179,76,42.5,47,24,4,18,219,125,57.1,74,27,36.5,207,73,35.3,31,19,3,9
Derby Trailblazers,"C. Washington, J. Pathmarajah, S. Walker, C. Brown, R. May-Thompson",17,12613,485,191,375,50.9,47,108,43.5,56,82,68.3,45,150,195,120,52,16,72,59,420,78.7,80,77.4,30.0,31.0,57.2,59,62.8,25.1,78.9,11.9,21.9,28.8,115.3,431,172,374,46,57,152,37.5,30,45,66.7,40,134,174,102,41,12,70,88,406,53.6,54.7,15.1,21.1,40.6,105.9,9.4,194,119,61.3,73,25,34.2,108,47,43.5,24,31,5,10,138,80,58,84,35,41.7,152,57,37.5,23,34,3,9
Birmingham Rockets,"R. Blain, Z. Powell, L. Okosieme, E. Donaldson, L. Mcgregor",16,11793,393,150,330,45.5,34,94,36.2,59,92,64.1,38,151,189,99,40,22,76,52,392,78.9,79.8,78.1,30.1,30.7,50.6,53,66,22.2,71.2,13.9,27.9,28.5,100.2,357,141,366,38.5,49,152,32.2,26,40,65,61,133,194,82,37,18,77,87,383,45.2,46.5,16.7,28.8,41.5,93.1,7.2,160,89,55.6,76,27,35.5,94,34,36.2,35,20,2,13,154,72,46.8,59,19,32.2,152,49,32.2,34,22,2,14
Milton Keynes Breakers,"D. Jackson, J. Dietrich, X. Wilson, J. Spencer, C. Thompson",14,10046,372,150,326,46,43,122,35.2,29,45,64.4,49,134,183,106,28,21,42,51,325,77.3,77.7,77,30.9,31.2,52.6,53.8,70.7,29.7,75.7,8.5,13.8,37.4,114.4,298,116,298,38.9,39,123,31.7,27,47,57.4,43,116,159,77,30,14,60,59,322,45.5,46.8,15.8,24.3,41.3,92.5,21.9,143,87,60.8,60,20,33.3,122,43,35.2,26,10,2,5,107,58,54.2,64,15,23.4,123,39,31.7,27,20,1,11
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Mielke, C. Johnson, N. Lewis",9,7426,307,108,235,46,37,100,37,54,70,77.1,35,93,128,63,37,7,36,53,256,84.3,82.8,85.8,29.0,28.0,53.8,57.8,58.3,28.5,74.4,9.9,29.8,42.6,119.9,268,96,224,42.9,34,93,36.6,42,58,72.4,32,88,120,54,23,9,59,63,265,50.4,53.7,19.1,25.6,41.5,101,18.9,112,65,58,23,6,26.1,100,37,37,18,9,0,6,92,54,58.7,39,8,20.5,93,34,36.6,19,26,1,8
Newcastle Knights,"B. Dean, S. Trunley, J. Thames, H. Abdul, M. Jones",6,6927,255,93,204,45.6,40,108,37,29,39,74.4,25,67,92,59,20,5,32,34,219,76.1,75.9,76.4,31.6,31.4,55.4,57.7,63.4,25.3,67.7,10.3,19.1,52.9,116.4,242,96,197,48.7,22,78,28.2,28,47,59.6,32,74,106,54,16,6,44,38,220,54.3,55.6,16.8,32.3,39.6,109.8,6.7,60,34,56.7,36,19,52.8,108,40,37,14,13,0,4,85,62,72.9,34,12,35.3,78,22,28.2,19,18,2,4
Reading Rockets,"T. Nsangu, C. Creek, J. Bouknight, Z. Poorman, V. Olarerin",17,6964,264,106,215,49.3,32,82,39,20,30,66.7,48,67,115,66,34,8,45,36,216,73.1,74.5,71.8,32.2,33.4,56.7,57.8,62.3,45.7,77,13.3,14,38.1,122.1,203,80,184,43.5,34,84,40.5,9,9,100,20,57,77,48,22,4,49,34,208,52.7,54,20.7,23,45.7,97.5,24.6,102,68,66.7,31,6,19.4,82,32,39,23,16,2,4,75,38,50.7,25,8,32,84,34,40.5,27,14,2,7
Worthing Thunder,"D. Evans, M. Bryan-Amaning, J. Hopkins, E. Maynard, E. Dadds",14,5348,188,78,176,44.3,16,51,31.4,16,25,64,17,52,69,37,15,6,22,22,184,84.2,82.7,85.8,29.0,28.0,48.9,50.3,47.4,18.1,65,8.9,14.2,29,102,215,83,176,47.2,24,62,38.7,25,32,78.1,28,77,105,59,17,8,37,32,191,54,56.6,16.3,35,35.2,112.5,-10.5,81,49,60.5,44,13,29.5,51,16,31.4,11,10,1,1,73,45,61.6,40,13,32.5,62,24,38.7,17,11,3,6
Nottingham Hoods,"T. Williams, B. Johnson, D. Nixon Ii, E. Bailey, S. Akano",9,4748,229,87,158,55.1,29,66,43.9,26,40,65,20,59,79,48,27,8,25,39,173,88.5,87.6,89.4,27.4,26.8,64.2,65.2,55.2,28.2,76.6,10.1,25.3,41.8,132.1,162,62,142,43.7,13,51,25.5,25,37,67.6,18,51,69,50,14,3,44,40,176,48.2,51.2,21.8,23.4,35.9,91.6,40.5,70,52,74.3,22,6,27.3,66,29,43.9,9,10,0,4,60,38,63.3,31,11,35.5,51,13,25.5,21,12,0,7
Hemel Storm,"D. Nelson-Henry, K. Walker, M. Norman, B. Inger, S. Newman",7,5067,218,90,152,59.2,24,55,43.6,14,17,82.4,17,66,83,53,20,6,37,28,172,79.1,81.6,76.6,29.4,31.3,67.1,68.3,58.9,30.4,76.7,14.8,11.2,36.2,126.5,163,65,156,41.7,19,57,33.3,14,17,82.4,20,39,59,36,18,4,25,21,161,47.8,49.9,13.3,23.3,36.5,100.8,25.7,84,59,70.2,13,7,53.8,55,24,43.6,16,8,1,7,68,36,52.9,31,10,32.3,57,19,33.3,14,10,1,1
Birmingham Rockets,"R. Blain, O. Jackman, Z. Powell, E. Donaldson, L. Mcgregor",15,4646,194,70,145,48.3,7,44,15.9,47,64,73.4,24,51,75,37,19,5,21,44,163,85.1,84.4,85.8,28.4,28.0,50.7,56,52.9,32.9,69.9,9.1,44.1,30.3,118.8,168,59,142,41.5,16,59,27.1,34,41,82.9,22,49,71,30,14,4,35,52,166,47.2,52.5,17.9,30.1,41.5,101.1,17.6,74,52,70.3,26,11,42.3,44,7,15.9,10,9,2,1,70,39,55.7,13,4,30.8,59,16,27.1,17,10,2,4
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, B. Adeluola, E. Dadds",13,4564,156,54,126,42.9,11,34,32.4,37,52,71.2,9,54,63,27,11,3,29,30,162,82.5,85.3,79.8,28.2,30.1,47.2,52.4,50,12.3,68.4,14.2,41.3,27,96.2,177,72,150,48,20,53,37.7,13,23,56.5,25,64,89,49,10,5,23,41,151,54.7,55.3,12.6,31.6,35.3,116.6,-20.4,61,33,54.1,31,10,32.3,34,11,32.4,10,9,1,5,71,47,66.2,26,5,19.2,53,20,37.7,6,9,0,6
Reading Rockets,"M. Bryant, C. Creek, J. Bouknight, Z. Poorman, V. Olarerin",17,5032,179,70,149,47,22,59,37.3,17,23,73.9,23,42,65,44,18,6,25,36,154,75,73.8,76.3,32.5,31.5,54.4,56.2,62.9,34.3,67.7,11,15.4,39.6,115.7,169,63,134,47,20,55,36.4,23,31,74.2,20,44,64,40,15,8,39,26,159,54.5,57.2,20.9,32.3,41,105.6,10.1,73,42,57.5,16,5,31.2,59,22,37.3,13,5,2,4,56,33,58.9,23,10,43.5,55,20,36.4,18,16,1,2
Hemel Storm,"D. Nelson-Henry, K. Walker, S. Lewis, M. Norman, S. Newman",6,4570,165,66,128,51.6,16,54,29.6,17,23,73.9,10,52,62,46,17,5,26,29,147,80.1,77.7,82.6,30.9,29.1,57.8,59.7,69.7,18.9,74.3,12.4,18,42.2,111.5,161,61,139,43.9,15,42,35.7,24,29,82.8,18,43,61,29,16,8,30,35,157,49.3,53,16.5,25.7,30.2,102.4,9.1,68,50,73.5,6,0,0,54,16,29.6,6,15,2,4,68,39,57.4,29,7,24.1,42,15,35.7,12,8,0,7
Bristol Hurricanes,"D. Edozie, E. Dusha, D. Ubiaro, C. Samuels, V. Dilys",7,4804,168,64,131,48.9,16,40,40,24,43,55.8,19,59,78,43,12,5,18,27,142,71.9,71.4,72.4,33.6,33.2,55,56,67.2,26,65.6,8.5,32.8,30.5,117.5,147,56,146,38.4,18,67,26.9,17,27,63,31,54,85,31,9,4,24,36,144,44.5,46.6,13.2,34.4,45.9,101.5,16,69,40,58,22,8,36.4,40,16,40,11,2,3,4,56,28,50,23,10,43.5,67,18,26.9,11,8,0,4
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, A. Scarborough, E. Dadds",11,4015,136,48,123,39,11,39,28.2,29,39,74.4,24,55,79,25,11,6,32,28,142,83.6,85,82.3,28.2,29.2,43.5,48.5,52.1,32,72.4,16.2,31.7,31.7,95.6,129,53,134,39.6,13,54,24.1,10,19,52.6,21,51,72,33,17,5,22,33,137,44.4,45.3,13.4,27.6,40.3,93.7,1.9,59,25,42.4,24,11,45.8,39,11,28.2,6,15,1,6,52,33,63.5,28,7,25,54,13,24.1,9,8,3,4
